(4.817411044607819e-05, -1.996965284676703e-05, 1.0000593806194047)
(4.4881982554016725e-05, -1.863985597359032e-05, 1.0001339518569767)
(4.1934206184791004e-05, -1.7451468763765058e-05, 1.0002025745959489)
(3.920059328444097e-05, -1.6349586551552434e-05, 1.0002657029255484)
(3.6664981380369296e-05, -1.532847076292716e-05, 1.0003237766645618)
(3.431296876823649e-05, -1.438257373775885e-05, 1.0003772005104736)
(3.2131256884934495e-05, -1.3506581032415854e-05, 1.0004263467601389)
(3.0107528700914413e-05, -1.2695492949604167e-05, 1.0004715579033234)
(2.8230362261326913e-05, -1.1944641785392167e-05, 1.0005131490090338)
(2.4874088658230523e-05, -1.0606583927745226e-05, 1.0005866072763436)
(2.364793186466238e-05, -1.0127639044375253e-05, 1.0006190440863423)
(2.2506713839182407e-05, -9.681476846330564e-06, 1.0006488831283082)
(2.1442633218917628e-05, -9.2661144408972e-06, 1.0006763320904026)
(2.045038647236409e-05, -8.879892063290674e-06, 1.0007015823965382)
(1.9525123472598282e-05, -8.521028434264781e-06, 1.0007248101429067)
(1.8662348953686065e-05, -8.18776415747328e-06, 1.0007461773229434)
(1.7857876448427545e-05, -7.878416692862191e-06, 1.0007658329566)
(1.710779932075717e-05, -7.59139811007217e-06, 1.0007839141292447)
(1.6408469251947445e-05, -7.3252181687622725e-06, 1.0008005469473866)
(1.575647831869612e-05, -7.078481762836789e-06, 1.000815847417877)
(1.5148643072038226e-05, -6.8498843339725e-06, 1.00082992225671)
(1.4581989955816518e-05, -6.638206688993618e-06, 1.0008428696330582)
(1.4053741764362707e-05, -6.4423097824083675e-06, 1.0008547798537288)
(1.3561304991857644e-05, -6.2611296778822924e-06, 1.0008657359928101)
(1.3102257985439382e-05, -6.093672762657243e-06, 1.0008758144708978)
(1.2674339843169616e-05, -5.939011235354653e-06, 1.0008850855879379)
(1.227544000578485e-05, -5.796278863779413e-06, 1.0008936140134)
(1.1903588500173124e-05, -5.664667003142507e-06, 1.0009014592371974)
(1.1556946794899369e-05, -5.54342086138802e-06, 1.000908675984499)
(1.1233799231039124e-05, -5.431835997794758e-06, 1.0009153145973213)
(1.093254499357807e-05, -5.329255041419336e-06, 1.0009214213855637)
(1.0651690591560193e-05, -5.23506461660901e-06, 1.000927038949932)
(1.0389842815945808e-05, -5.148692463105868e-06, 1.0009322064790014)
(1.0145702144675249e-05, -5.069604738357412e-06, 1.0009369600224898)
(9.91805657068913e-06, -4.99730349232267e-06, 1.0009413327426477)
(9.705775824241201e-06, -4.931324303051527e-06, 1.0009453551455154)
(9.507805966880008e-06, -4.871234063879162e-06, 1.0009490552936597)
(9.323164333292502e-06, -4.816628912623412e-06, 1.0009524590018748)
(9.150934799891817e-06, -4.767132294125478e-06, 1.00095559001721)
(8.990263360013443e-06, -4.722393148014391e-06, 1.0009584701845797)
(8.840353985836852e-06, -4.682084213572913e-06, 1.0009611195991113)
(8.700464759465313e-06, -4.645900444560694e-06, 1.0009635567462907)
(8.569904256581487e-06, -4.613557527281826e-06, 1.000965798630885)
(8.448028166380616e-06, -4.58479049521067e-06, 1.0009678608955408)
(8.334236132415369e-06, -4.55935243394943e-06, 1.0009697579298815)
(8.227968801333814e-06, -4.537013271209027e-06, 1.0009715029708708)
(8.128705065188654e-06, -4.517558645966601e-06, 1.0009731081951356)
(8.035959486020309e-06, -4.500788852204255e-06, 1.0009745848038956)
(7.949279889724895e-06, -4.486517851921639e-06, 1.0009759431010907)
(7.86824511991664e-06, -4.474572353639962e-06, 1.0009771925652524)
(7.792462939906769e-06, -4.464790951549673e-06, 1.0009783419156166)
(7.721568074367688e-06, -4.457023321847119e-06, 1.0009793991729434)
(7.655220381215605e-06, -4.451129472416916e-06, 1.0009803717154648)
(7.5931031452310605e-06, -4.446979042376844e-06, 1.0009812663303508)
